company,role,location,education,years_of_experience,base_salary,annual_bonus,annual_stock,total_compensation,company_tier,remote_work
SAP,Senior Data Scientist,"Denver, CO",Master's,4,194135,13654,0,207789,Tier3,1
IBM,Software Engineer,"Denver, CO",Bachelor's,1,104245,10977,0,115222,Tier3,1
Netflix,Product Manager,"Boston, MA",Bachelor's,11,396445,63775,23558,483778,FAANG,0
Amazon,Principal Engineer,"Los Angeles, CA",Bachelor's,3,532798,67100,43603,643501,FAANG,0
Google,Senior Product Manager,"Seattle, WA",Bachelor's,1,368427,45618,53276,467321,FAANG,0
Google,ML Engineer,"Atlanta, GA",PhD,0,251825,24881,31106,307812,FAANG,1
Amazon,Engineering Manager,"Denver, CO",Bachelor's,1,348053,45517,19322,412892,FAANG,0
Google,Software Engineer,"Chicago, IL",Master's,3,202385,16220,18528,237133,FAANG,1
Stripe,Senior Software Engineer,"Denver, CO",Bachelor's,4,208018,34590,5717,248325,Tier2,1
IBM,Product Manager,"Atlanta, GA",Bachelor's,3,130146,25839,0,155985,Tier3,0
Salesforce,Senior Data Scientist,Remote,Bachelor's,10,263327,34888,42399,340614,Tier2,0
Uber,Engineering Manager,"Los Angeles, CA",Self-taught,9,437195,48201,41281,526677,Tier2,0
Apple,Data Scientist,"Atlanta, GA",Master's,0,200865,21551,5654,228070,FAANG,0
Intuit,Senior Software Engineer,"Austin, TX",Bootcamp,10,204492,29371,0,233863,Tier3,1
Meta,Software Engineer,"Austin, TX",Bootcamp,11,256840,34403,38664,329907,FAANG,1
Oracle,Senior Product Manager,"San Francisco, CA",Bachelor's,13,285256,36936,0,322192,Tier3,1
Stripe,Senior Data Scientist,"Austin, TX",Bachelor's,18,314989,29527,16052,360568,Tier2,0
Oracle,Software Engineer,"Atlanta, GA",Master's,0,120237,10988,0,131225,Tier3,0
Meta,ML Engineer,"Los Angeles, CA",Bootcamp,1,277178,37177,32966,347321,FAANG,1
Early Stage Startup,Data Scientist,"San Francisco, CA",Bachelor's,0,196141,28679,0,224820,Startup,1
Workday,Senior Software Engineer,"Seattle, WA",Master's,1,260083,29559,0,289642,Tier3,1
Amazon,Senior Software Engineer,"New York, NY",Bachelor's,2,335502,42317,29670,407489,FAANG,1
Series A Startup,Senior Software Engineer,Remote,Bachelor's,3,188003,43825,0,231828,Startup,0
Workday,Staff Engineer,"Denver, CO",Master's,0,217363,29135,0,246498,Tier3,0
Uber,Software Engineer,Remote,Bachelor's,0,172296,17893,25764,215953,Tier2,0
Databricks,ML Engineer,"San Francisco, CA",PhD,1,280205,45446,32329,357980,Tier2,1
Lyft,ML Engineer,"San Francisco, CA",Bootcamp,1,259481,35875,22265,317621,Tier2,0
Apple,Software Engineer,"Los Angeles, CA",Master's,8,319975,20194,3658,343827,FAANG,1
Meta,Principal Engineer,"San Francisco, CA",PhD,2,571736,107885,89852,769473,FAANG,1
Uber,Senior Data Scientist,"Austin, TX",Bachelor's,13,249147,24676,19229,293052,Tier2,0
Oracle,Staff Engineer,"Seattle, WA",PhD,9,355670,36850,0,392520,Tier3,0
Google,Data Scientist,"Austin, TX",Self-taught,0,211633,26818,10732,249183,FAANG,0
Early Stage Startup,Engineering Manager,"Boston, MA",Master's,10,312049,39477,0,351526,Startup,0
SAP,Staff Engineer,"Denver, CO",Bachelor's,7,200424,19833,0,220257,Tier3,1
Google,Senior Data Scientist,"San Francisco, CA",Bachelor's,0,382824,35905,31624,450353,FAANG,0
Early Stage Startup,Data Scientist,"Austin, TX",PhD,3,155461,29088,0,184549,Startup,1
Google,Staff Engineer,"Denver, CO",Master's,1,360895,61568,26337,448800,FAANG,0
Apple,Principal Engineer,"Los Angeles, CA",Bachelor's,1,518257,36306,40983,595546,FAANG,1
Workday,Software Engineer,"Los Angeles, CA",Bootcamp,5,163756,17565,0,181321,Tier3,0
Airbnb,Principal Engineer,"Atlanta, GA",Bachelor's,5,299481,34332,53544,387357,Tier2,0
Google,Product Manager,"New York, NY",Master's,0,286854,38389,26203,351446,FAANG,0
Microsoft,Senior Data Scientist,"Austin, TX",PhD,0,207405,14298,37739,259442,Tier2,1
Meta,Software Engineer,"Atlanta, GA",Bachelor's,0,159475,24831,5615,189921,FAANG,0
Google,Senior Data Scientist,"Austin, TX",Master's,0,267178,22121,22360,311659,FAANG,0
ServiceNow,Product Manager,Remote,Bootcamp,4,158606,34961,0,193567,Tier3,0
Apple,Principal Engineer,"Boston, MA",Bachelor's,4,444068,54695,19265,518028,FAANG,1
Databricks,Engineering Manager,"Los Angeles, CA",Bachelor's,3,353938,51124,11978,417040,Tier2,1
Meta,Senior Data Scientist,"Austin, TX",Master's,2,285881,24942,20215,331038,FAANG,1
Airbnb,Engineering Manager,"Chicago, IL",Master's,4,324473,26687,14223,365383,Tier2,0
Meta,Senior Product Manager,"New York, NY",Bachelor's,6,391461,92317,71993,555771,FAANG,1
SAP,Senior Product Manager,"Seattle, WA",Master's,19,314040,61762,0,375802,Tier3,1
Netflix,Data Scientist,"Seattle, WA",Bachelor's,0,239340,47187,17790,304317,FAANG,0
IBM,Software Engineer,"San Francisco, CA",Master's,1,183104,16847,0,199951,Tier3,0
Meta,Senior Software Engineer,"New York, NY",Bachelor's,0,318135,25038,28915,372088,FAANG,0
Salesforce,Senior Product Manager,"Los Angeles, CA",Bachelor's,1,262131,25295,43297,330723,Tier2,0
Salesforce,Senior Product Manager,"Chicago, IL",Bachelor's,0,225434,13365,22890,261689,Tier2,0
SAP,Product Manager,"Chicago, IL",Bootcamp,4,132421,12012,0,144433,Tier3,0
ServiceNow,Senior Data Scientist,"Austin, TX",Bachelor's,7,206288,34336,0,240624,Tier3,1
Early Stage Startup,ML Engineer,"Atlanta, GA",Bachelor's,1,139253,14512,0,153765,Startup,1
Series A Startup,Senior Data Scientist,"New York, NY",Master's,4,206914,21759,0,228673,Startup,1
Google,Senior Data Scientist,Remote,PhD,1,327970,54317,29416,411703,FAANG,1
Meta,Senior Software Engineer,"Seattle, WA",PhD,5,420143,39769,44632,504544,FAANG,0
Stripe,Staff Engineer,"Boston, MA",Bachelor's,4,350412,51842,21312,423566,Tier2,0
Apple,Senior Data Scientist,"Chicago, IL",Self-taught,13,370174,59955,23155,453284,FAANG,1
Google,Engineering Manager,"Boston, MA",Bachelor's,11,524691,26347,79518,630556,FAANG,1
SAP,Product Manager,"Austin, TX",Bachelor's,2,143703,20860,0,164563,Tier3,1
Intuit,Senior Software Engineer,"Seattle, WA",Bachelor's,3,233164,17009,0,250173,Tier3,0
Apple,Staff Engineer,"Chicago, IL",Bachelor's,7,405018,22479,51948,479445,FAANG,0
Salesforce,Data Scientist,"Chicago, IL",Bachelor's,1,163778,32959,8472,205209,Tier2,0
Meta,Data Scientist,"Chicago, IL",Bachelor's,1,186322,22727,20854,229903,FAANG,0
Uber,Senior Product Manager,"New York, NY",Master's,2,314054,50166,9070,373290,Tier2,1
Microsoft,Software Engineer,"Los Angeles, CA",Master's,3,178874,27587,29912,236373,Tier2,0
Series A Startup,Product Manager,"Denver, CO",Bachelor's,4,128054,17759,0,145813,Startup,1
Airbnb,Staff Engineer,Remote,Bootcamp,1,269300,43649,32732,345681,Tier2,0
Microsoft,Software Engineer,"Boston, MA",Bachelor's,11,254769,42751,14687,312207,Tier2,0
Lyft,Staff Engineer,"Boston, MA",Bachelor's,0,322690,32040,31523,386253,Tier2,0
SAP,Senior Product Manager,"Boston, MA",Bachelor's,6,259589,25503,0,285092,Tier3,1
Series A Startup,Staff Engineer,"Los Angeles, CA",Bachelor's,2,239195,35017,0,274212,Startup,1
Oracle,Senior Data Scientist,"Austin, TX",Master's,0,186282,31777,0,218059,Tier3,0
Workday,Staff Engineer,"Boston, MA",Master's,6,273794,45848,0,319642,Tier3,0
Intuit,Product Manager,"Austin, TX",Master's,4,182171,10843,0,193014,Tier3,0
Amazon,Senior Product Manager,"Austin, TX",Bachelor's,4,267678,39084,22672,329434,FAANG,1
Databricks,Senior Data Scientist,"Chicago, IL",PhD,5,250566,48827,43801,343194,Tier2,0
Airbnb,Senior Product Manager,"Boston, MA",Master's,3,286088,30312,18974,335374,Tier2,0
ServiceNow,Product Manager,"Los Angeles, CA",Master's,6,252949,52059,0,305008,Tier3,0
Lyft,Product Manager,"Austin, TX",Bachelor's,2,165435,9607,19332,194374,Tier2,1
Workday,Product Manager,"Boston, MA",Bachelor's,13,261577,46013,0,307590,Tier3,0
Stripe,Product Manager,"Boston, MA",Bachelor's,7,252430,15523,23269,291222,Tier2,0
ServiceNow,Product Manager,"Chicago, IL",Self-taught,2,136764,20286,0,157050,Tier3,1
SAP,Staff Engineer,"Boston, MA",Bootcamp,13,303778,40207,0,343985,Tier3,0
Intuit,Principal Engineer,Remote,Master's,3,309681,32276,0,341957,Tier3,0
Amazon,Software Engineer,"Chicago, IL",Master's,1,185113,21475,5103,211691,FAANG,0
Google,Senior Product Manager,"San Francisco, CA",PhD,3,499209,39836,51274,590319,FAANG,0
IBM,Senior Product Manager,"Austin, TX",Bachelor's,15,206965,31874,0,238839,Tier3,1
Amazon,Staff Engineer,"Seattle, WA",Self-taught,0,424371,33661,36187,494219,FAANG,1
Google,Engineering Manager,"Atlanta, GA",Master's,0,297464,20048,19208,336720,FAANG,1
SAP,Product Manager,"Seattle, WA",Bachelor's,0,178894,21689,0,200583,Tier3,0
Series A Startup,Senior Product Manager,"New York, NY",Master's,8,270141,26551,0,296692,Startup,1
Salesforce,Engineering Manager,"Los Angeles, CA",Master's,1,332326,48803,21183,402312,Tier2,1
Airbnb,Senior Product Manager,"New York, NY",Master's,1,295069,30783,44543,370395,Tier2,1
Microsoft,ML Engineer,"Austin, TX",Bachelor's,18,335235,44707,34100,414042,Tier2,0
Airbnb,Software Engineer,"Los Angeles, CA",Bootcamp,0,144494,24232,12469,181195,Tier2,1
Early Stage Startup,Product Manager,"New York, NY",Bachelor's,7,223369,35845,0,259214,Startup,0
Apple,Software Engineer,"Denver, CO",Bachelor's,0,163103,24219,18279,205601,FAANG,0
Meta,Software Engineer,"Atlanta, GA",Bachelor's,13,227795,24650,16213,268658,FAANG,1
Intuit,Staff Engineer,"Boston, MA",Self-taught,3,241064,31134,0,272198,Tier3,1
Microsoft,Product Manager,"San Francisco, CA",Master's,3,267807,34587,9808,312202,Tier2,1
Lyft,Engineering Manager,"New York, NY",Bachelor's,2,306013,37247,6370,349630,Tier2,1
Early Stage Startup,Principal Engineer,"Denver, CO",Master's,0,248100,42994,0,291094,Startup,0
IBM,Product Manager,"Los Angeles, CA",Bachelor's,6,224586,27031,0,251617,Tier3,1
Uber,Senior Data Scientist,"Atlanta, GA",Master's,2,193747,26156,9354,229257,Tier2,0
Airbnb,Principal Engineer,"Denver, CO",Master's,4,352400,28611,26339,407350,Tier2,1
Uber,Staff Engineer,"New York, NY",Bootcamp,9,345169,17158,33113,395440,Tier2,0
Airbnb,ML Engineer,"San Francisco, CA",Bachelor's,0,279745,33218,22107,335070,Tier2,0
Google,Product Manager,"Denver, CO",Bachelor's,0,177959,22888,10905,211752,FAANG,0
Meta,Senior Product Manager,"Los Angeles, CA",Bachelor's,5,322380,25771,19804,367955,FAANG,1
Amazon,ML Engineer,"Seattle, WA",Bootcamp,0,278370,37393,7191,322954,FAANG,0
Meta,Senior Data Scientist,"Chicago, IL",Bachelor's,4,261718,55239,35436,352393,FAANG,0
Google,Senior Product Manager,"New York, NY",Bachelor's,2,391206,57989,45654,494849,FAANG,1
Microsoft,Principal Engineer,"Austin, TX",Bachelor's,3,357587,73251,32058,462896,Tier2,1
Series B Startup,Engineering Manager,"Denver, CO",Bachelor's,1,201235,15588,0,216823,Startup,0
Meta,Senior Data Scientist,"Chicago, IL",Bootcamp,1,275544,17361,16456,309361,FAANG,0
Airbnb,Staff Engineer,"Atlanta, GA",Bachelor's,7,267963,12466,8941,289370,Tier2,1
Databricks,ML Engineer,"Atlanta, GA",Bachelor's,0,165355,12802,3402,181559,Tier2,1
Workday,Senior Software Engineer,"San Francisco, CA",Self-taught,0,253775,35075,0,288850,Tier3,0
Meta,Senior Software Engineer,"Denver, CO",Bachelor's,0,234710,23106,24622,282438,FAANG,0
ServiceNow,Principal Engineer,"Los Angeles, CA",PhD,7,408459,25567,0,434026,Tier3,0
Salesforce,ML Engineer,"Austin, TX",PhD,11,302238,12237,38914,353389,Tier2,1
Airbnb,Staff Engineer,"Los Angeles, CA",Self-taught,0,308231,25210,8324,341765,Tier2,1
Intuit,Staff Engineer,Remote,Master's,0,201203,13696,0,214899,Tier3,1
Oracle,Engineering Manager,"Los Angeles, CA",Bachelor's,0,282078,26877,0,308955,Tier3,0
Meta,Engineering Manager,Remote,PhD,1,408199,60742,18660,487601,FAANG,0
Microsoft,Senior Data Scientist,"Atlanta, GA",Bootcamp,3,185438,29161,8972,223571,Tier2,0
Salesforce,Data Scientist,Remote,Master's,3,228698,30593,25074,284365,Tier2,1
Amazon,Software Engineer,"New York, NY",Bootcamp,6,284061,21157,21247,326465,FAANG,1
Series A Startup,Product Manager,"Atlanta, GA",Bachelor's,3,137441,16830,0,154271,Startup,1
Oracle,Data Scientist,"Los Angeles, CA",Bachelor's,2,162397,26162,0,188559,Tier3,0
Intuit,Engineering Manager,"Denver, CO",Bachelor's,1,247125,54574,0,301699,Tier3,0
Intuit,Principal Engineer,"Los Angeles, CA",Bachelor's,1,327185,18410,0,345595,Tier3,0
Netflix,Product Manager,"Los Angeles, CA",Master's,12,349747,60512,20017,430276,FAANG,0
Intuit,Senior Software Engineer,"San Francisco, CA",Bachelor's,6,264366,54503,0,318869,Tier3,1
ServiceNow,Product Manager,"Chicago, IL",Master's,13,226431,17527,0,243958,Tier3,0
Databricks,Senior Software Engineer,"Seattle, WA",Bootcamp,2,295957,47566,26191,369714,Tier2,0
Netflix,Software Engineer,Remote,PhD,9,283009,61542,29209,373760,FAANG,0
Stripe,Senior Product Manager,"New York, NY",Bachelor's,1,285674,39695,21577,346946,Tier2,0
Early Stage Startup,ML Engineer,"Atlanta, GA",Bachelor's,0,115688,11358,0,127046,Startup,1
Series B Startup,Principal Engineer,Remote,Bachelor's,1,243352,46168,0,289520,Startup,1
Uber,Principal Engineer,"Chicago, IL",Bachelor's,11,388379,73281,32129,493789,Tier2,0
IBM,Senior Product Manager,"Los Angeles, CA",Bachelor's,2,229951,25120,0,255071,Tier3,0
SAP,ML Engineer,"Boston, MA",Bootcamp,19,289825,46187,0,336012,Tier3,0
ServiceNow,Engineering Manager,"Seattle, WA",Master's,0,294848,33161,0,328009,Tier3,1
IBM,Principal Engineer,"Austin, TX",Bachelor's,0,251716,31098,0,282814,Tier3,1
Early Stage Startup,Engineering Manager,"Denver, CO",Bootcamp,14,224823,40201,0,265024,Startup,0
Series A Startup,Principal Engineer,"Atlanta, GA",Bachelor's,1,237805,20179,0,257984,Startup,1
SAP,Product Manager,"Atlanta, GA",Master's,0,135154,29410,0,164564,Tier3,0
Early Stage Startup,Software Engineer,"San Francisco, CA",Bachelor's,4,179543,13386,0,192929,Startup,0
SAP,Senior Product Manager,"Denver, CO",Self-taught,1,159624,37081,0,196705,Tier3,0
Uber,ML Engineer,"Atlanta, GA",Master's,0,181243,16239,13471,210953,Tier2,1
Meta,Senior Product Manager,"New York, NY",Bachelor's,13,445197,47375,56133,548705,FAANG,1
Lyft,Principal Engineer,"Atlanta, GA",Master's,10,359200,59144,40074,458418,Tier2,1
Oracle,Senior Product Manager,"Boston, MA",Bachelor's,6,232299,19892,0,252191,Tier3,1
Series A Startup,Product Manager,"Los Angeles, CA",PhD,12,216680,32832,0,249512,Startup,1
Early Stage Startup,Staff Engineer,"Denver, CO",Bootcamp,8,196739,22234,0,218973,Startup,0
Microsoft,Senior Software Engineer,"Atlanta, GA",Bachelor's,3,192869,36984,6528,236381,Tier2,1
Netflix,Data Scientist,"Seattle, WA",Master's,8,334212,47705,46016,427933,FAANG,1
Apple,Senior Product Manager,"San Francisco, CA",Bootcamp,3,430740,38309,62822,531871,FAANG,0
Databricks,Staff Engineer,"Los Angeles, CA",Bachelor's,0,287173,53837,18968,359978,Tier2,0
Series A Startup,Product Manager,"Seattle, WA",Bachelor's,15,231167,35589,0,266756,Startup,1
Microsoft,Senior Data Scientist,"Austin, TX",Bootcamp,6,210714,29209,6459,246382,Tier2,0
Apple,Senior Software Engineer,Remote,Bachelor's,0,225108,24108,27704,276920,FAANG,0
Google,Senior Software Engineer,"San Francisco, CA",PhD,0,408793,24037,63594,496424,FAANG,0
ServiceNow,Data Scientist,"Boston, MA",Bachelor's,1,151481,9142,0,160623,Tier3,0
Google,Senior Software Engineer,"Boston, MA",Bachelor's,0,259861,20122,25890,305873,FAANG,1
Lyft,Engineering Manager,"Seattle, WA",Self-taught,0,349005,90091,47047,486143,Tier2,0
Databricks,Principal Engineer,"Chicago, IL",Master's,4,321879,67291,12751,401921,Tier2,0
IBM,Principal Engineer,"Boston, MA",Bachelor's,3,328808,57543,0,386351,Tier3,0
Workday,Data Scientist,"Chicago, IL",Bachelor's,5,159076,26097,0,185173,Tier3,0
Google,Senior Data Scientist,"Austin, TX",Master's,2,319902,44125,28802,392829,FAANG,0
Lyft,Staff Engineer,"San Francisco, CA",Master's,2,358188,53155,47056,458399,Tier2,1
Airbnb,Data Scientist,"Los Angeles, CA",Bootcamp,1,165447,26445,10551,202443,Tier2,0
Oracle,Data Scientist,"Austin, TX",Bootcamp,2,128606,7085,0,135691,Tier3,1
SAP,Senior Product Manager,"San Francisco, CA",Master's,7,340600,15921,0,356521,Tier3,1
Netflix,Senior Data Scientist,"Denver, CO",Bachelor's,0,231334,27373,18166,276873,FAANG,1
Apple,Senior Data Scientist,"New York, NY",Master's,11,375919,65099,30827,471845,FAANG,0
Series B Startup,Senior Product Manager,"Atlanta, GA",Master's,16,213577,20383,0,233960,Startup,0
Salesforce,Senior Product Manager,"Chicago, IL",Bachelor's,4,238907,12031,28178,279116,Tier2,0
Microsoft,Principal Engineer,Remote,Bachelor's,1,354183,33823,16414,404420,Tier2,0
Google,Data Scientist,"Austin, TX",Master's,3,234229,40305,24165,298699,FAANG,0
Early Stage Startup,Principal Engineer,"Los Angeles, CA",Bachelor's,16,381386,53931,0,435317,Startup,1
Apple,Engineering Manager,"Chicago, IL",Bachelor's,0,340312,44421,32082,416815,FAANG,1
Salesforce,Data Scientist,"Los Angeles, CA",Bachelor's,1,213760,17889,19793,251442,Tier2,0
Airbnb,Engineering Manager,"Los Angeles, CA",Self-taught,2,341533,50279,45462,437274,Tier2,0
Stripe,Senior Product Manager,"Boston, MA",Bachelor's,6,277556,23407,10912,311875,Tier2,0
Intuit,Data Scientist,"Los Angeles, CA",Master's,8,227417,23261,0,250678,Tier3,0
Microsoft,Software Engineer,Remote,Bachelor's,8,210792,10726,31226,252744,Tier2,0
Series A Startup,Product Manager,Remote,PhD,2,168719,38439,0,207158,Startup,0
Workday,Senior Data Scientist,"Atlanta, GA",Master's,2,150353,8786,0,159139,Tier3,0
Intuit,Product Manager,"Atlanta, GA",Master's,1,130216,10612,0,140828,Tier3,0
IBM,Data Scientist,"Chicago, IL",Bachelor's,6,138596,10676,0,149272,Tier3,1
SAP,Senior Product Manager,"New York, NY",Self-taught,2,226502,41058,0,267560,Tier3,1
Early Stage Startup,Data Scientist,"Atlanta, GA",Master's,4,125873,10267,0,136140,Startup,0
Workday,Senior Data Scientist,"Denver, CO",Self-taught,10,244201,13343,0,257544,Tier3,0
Amazon,Staff Engineer,"Atlanta, GA",Bootcamp,4,308797,32918,42071,383786,FAANG,1
Stripe,Software Engineer,"Seattle, WA",Self-taught,6,257676,21289,36133,315098,Tier2,0
Salesforce,Software Engineer,"Austin, TX",Master's,0,149452,16921,9222,175595,Tier2,0
Meta,Senior Software Engineer,"Atlanta, GA",Bachelor's,2,276009,28465,12590,317064,FAANG,0
Apple,Product Manager,"New York, NY",Master's,6,341421,54370,31033,426824,FAANG,1
Amazon,Product Manager,"Seattle, WA",Bachelor's,1,236837,26236,21052,284125,FAANG,0
Netflix,Data Scientist,"Boston, MA",Bachelor's,8,243302,42151,27855,313308,FAANG,0
Series B Startup,Senior Product Manager,"Seattle, WA",Bachelor's,25,281332,21636,0,302968,Startup,0
Oracle,Product Manager,Remote,PhD,1,184917,19369,0,204286,Tier3,0
Uber,Engineering Manager,"Seattle, WA",Bootcamp,3,418727,57357,37796,513880,Tier2,0
Oracle,Senior Software Engineer,"Atlanta, GA",PhD,4,194889,29145,0,224034,Tier3,0
Series A Startup,Senior Product Manager,"Denver, CO",Bachelor's,1,146510,6239,0,152749,Startup,0
IBM,Data Scientist,"Chicago, IL",Master's,9,213054,13359,0,226413,Tier3,0
Salesforce,Senior Product Manager,"Los Angeles, CA",Bachelor's,1,329960,71153,11459,412572,Tier2,1
Intuit,Software Engineer,"New York, NY",Master's,0,148173,24625,0,172798,Tier3,0
Lyft,Product Manager,"San Francisco, CA",Bachelor's,3,278420,22508,21162,322090,Tier2,1
Meta,ML Engineer,Remote,Bachelor's,0,238984,37826,36054,312864,FAANG,0
Netflix,Product Manager,"Seattle, WA",Master's,0,297919,16725,39552,354196,FAANG,1
Uber,ML Engineer,"San Francisco, CA",Bachelor's,11,375862,53776,56828,486466,Tier2,0
Meta,Senior Software Engineer,"Denver, CO",Bootcamp,3,204695,11299,23810,239804,FAANG,0
Databricks,Senior Software Engineer,"New York, NY",Self-taught,8,279924,65593,23794,369311,Tier2,0
Meta,Senior Data Scientist,"Atlanta, GA",Bachelor's,1,250110,43719,24147,317976,FAANG,1
Stripe,ML Engineer,"Seattle, WA",Bachelor's,13,341426,48323,17410,407159,Tier2,1
Amazon,Engineering Manager,"Denver, CO",Bachelor's,15,406613,43644,43812,494069,FAANG,0
Intuit,Data Scientist,"New York, NY",Master's,0,185048,24014,0,209062,Tier3,1
Amazon,Principal Engineer,"Denver, CO",PhD,4,411221,23424,11119,445764,FAANG,0
Early Stage Startup,Senior Software Engineer,Remote,Master's,0,159608,13311,0,172919,Startup,0
Intuit,Product Manager,Remote,Master's,7,194409,36401,0,230810,Tier3,0
Meta,Staff Engineer,"Los Angeles, CA",Master's,0,470186,69126,46863,586175,FAANG,0
Meta,ML Engineer,"Boston, MA",Master's,4,319516,17832,23308,360656,FAANG,0
Stripe,Senior Product Manager,"Austin, TX",Bachelor's,15,324771,50853,33684,409308,Tier2,1
Salesforce,Software Engineer,"New York, NY",Bachelor's,0,185224,18463,12714,216401,Tier2,0
Google,Senior Data Scientist,"Los Angeles, CA",Bachelor's,5,417586,81654,33535,532775,FAANG,0
Google,Senior Data Scientist,"Austin, TX",Master's,4,271301,60612,41219,373132,FAANG,1
Series B Startup,Data Scientist,"Boston, MA",Bachelor's,4,143002,20028,0,163030,Startup,0
Salesforce,Product Manager,"San Francisco, CA",Bootcamp,0,233583,31044,10081,274708,Tier2,0
SAP,Engineering Manager,"Boston, MA",Bachelor's,4,308859,40659,0,349518,Tier3,0
Lyft,ML Engineer,"Chicago, IL",Bachelor's,2,189321,25635,28460,243416,Tier2,0
Databricks,Senior Product Manager,"Chicago, IL",Master's,3,232231,25567,37910,295708,Tier2,0
Google,Product Manager,"New York, NY",Master's,1,279706,69019,26297,375022,FAANG,0
Oracle,Principal Engineer,"Chicago, IL",Bachelor's,3,271856,35170,0,307026,Tier3,0
Uber,Senior Software Engineer,"Chicago, IL",Bachelor's,2,193527,29159,6023,228709,Tier2,0
Series B Startup,Senior Data Scientist,"New York, NY",Bachelor's,0,192903,8788,0,201691,Startup,0
ServiceNow,Product Manager,"New York, NY",Bachelor's,0,180277,12010,0,192287,Tier3,0
Microsoft,Principal Engineer,"San Francisco, CA",Bachelor's,7,492004,62846,40349,595199,Tier2,0
Salesforce,Product Manager,Remote,Self-taught,4,214325,37549,27154,279028,Tier2,1
Uber,Data Scientist,Remote,Bachelor's,0,140637,17899,11495,170031,Tier2,0
Databricks,Senior Data Scientist,"San Francisco, CA",Master's,5,335623,66023,33179,434825,Tier2,1
Salesforce,Senior Data Scientist,"Atlanta, GA",Bachelor's,0,180501,27076,15403,222980,Tier2,0
Microsoft,Staff Engineer,"Denver, CO",Bachelor's,1,298977,17193,16783,332953,Tier2,0
Netflix,Senior Product Manager,"Boston, MA",Bachelor's,0,305956,43446,26036,375438,FAANG,1
Google,Principal Engineer,"Atlanta, GA",Bachelor's,2,402768,40027,16406,459201,FAANG,0
Databricks,Software Engineer,"Boston, MA",Bootcamp,4,202077,16369,19474,237920,Tier2,1
SAP,Software Engineer,"New York, NY",Bachelor's,0,166172,11977,0,178149,Tier3,0
Oracle,Product Manager,"Los Angeles, CA",Master's,4,231707,13007,0,244714,Tier3,1
Microsoft,Senior Data Scientist,"Boston, MA",Master's,7,303532,36787,9848,350167,Tier2,1
Stripe,Senior Software Engineer,"Los Angeles, CA",PhD,5,283639,26399,37765,347803,Tier2,0
Meta,Senior Data Scientist,"Los Angeles, CA",Bachelor's,1,329635,42244,17912,389791,FAANG,0
IBM,Principal Engineer,"Los Angeles, CA",Master's,3,398677,33301,0,431978,Tier3,1
Netflix,Principal Engineer,Remote,Bootcamp,8,530629,74949,46876,652454,FAANG,0
Google,Data Scientist,Remote,Master's,7,266524,33631,31905,332060,FAANG,1
Series A Startup,Data Scientist,"New York, NY",Bachelor's,0,135911,23473,0,159384,Startup,1
Microsoft,Software Engineer,"Denver, CO",Bachelor's,2,132814,18715,9030,160559,Tier2,1
Netflix,Software Engineer,"New York, NY",Bachelor's,0,209708,20391,29299,259398,FAANG,0
Lyft,Principal Engineer,"Chicago, IL",Master's,3,321887,27175,32705,381767,Tier2,1
Netflix,Software Engineer,Remote,Master's,1,170041,30301,26372,226714,FAANG,1
Workday,Principal Engineer,"Seattle, WA",Master's,1,413416,25893,0,439309,Tier3,1
ServiceNow,Senior Software Engineer,"San Francisco, CA",Bachelor's,3,276084,25783,0,301867,Tier3,0
Salesforce,Engineering Manager,"San Francisco, CA",Bachelor's,7,489829,67276,27099,584204,Tier2,0
Intuit,Data Scientist,"San Francisco, CA",Bachelor's,5,218013,17996,0,236009,Tier3,1
Amazon,Product Manager,"Atlanta, GA",Master's,3,234920,11427,20545,266892,FAANG,0
Early Stage Startup,Senior Data Scientist,"Denver, CO",Master's,4,167382,11976,0,179358,Startup,0
Databricks,Engineering Manager,"Seattle, WA",PhD,3,430453,41433,58447,530333,Tier2,1
Series A Startup,ML Engineer,"Denver, CO",Master's,5,172653,29861,0,202514,Startup,0
Intuit,Principal Engineer,"Los Angeles, CA",Bachelor's,2,330564,66648,0,397212,Tier3,0
Uber,Senior Product Manager,"San Francisco, CA",Self-taught,2,295548,23744,7751,327043,Tier2,1
Series B Startup,Principal Engineer,"Denver, CO",Bachelor's,16,290145,27582,0,317727,Startup,1
Stripe,Product Manager,"New York, NY",Bachelor's,2,232510,33810,11401,277721,Tier2,0
Google,Product Manager,"New York, NY",Bachelor's,2,297515,16548,35939,350002,FAANG,0
Apple,Staff Engineer,"Boston, MA",PhD,4,444131,84958,82175,611264,FAANG,0
Salesforce,Senior Product Manager,"Denver, CO",Master's,3,240784,24622,6313,271719,Tier2,1
ServiceNow,Engineering Manager,"New York, NY",Self-taught,3,351418,46861,0,398279,Tier3,1
SAP,Senior Product Manager,"San Francisco, CA",Master's,15,368182,58301,0,426483,Tier3,0
Workday,Software Engineer,"Austin, TX",Bootcamp,0,112644,12490,0,125134,Tier3,0
Stripe,Data Scientist,"Atlanta, GA",Master's,0,141679,14017,7856,163552,Tier2,0
Early Stage Startup,Principal Engineer,"Atlanta, GA",Bachelor's,8,264219,44339,0,308558,Startup,1
IBM,ML Engineer,"New York, NY",Master's,4,235938,36096,0,272034,Tier3,1
Series A Startup,ML Engineer,"Austin, TX",Bachelor's,4,162313,10986,0,173299,Startup,0
ServiceNow,ML Engineer,"San Francisco, CA",Master's,3,243574,26818,0,270392,Tier3,0
